adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_symbols_evaluated,n_symbols_qualified,mean_oos_sharpe,median_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,pct_symbols_positive_oos,pct_symbols_positive_return,pct_symbols_low_dd,robustness_score
14,14,100,2,10,14,4.0,25.0,20.0,0.1,10,90,100,1.0,2.0,1.5,30,1.0,3,3,0.448743238996345,0.5789583183728213,0.029045292677183077,-2.1227285143215453,0.6666666666666666,0.6666666666666666,1.0,0.41472681454087224
10,14,200,2,10,14,3.0,30.0,20.0,0.2,15,85,200,1.5,0.5,3.0,10,1.0,1,1,0.4549890840529426,0.4549890840529426,0.0030645910583019034,-0.4722445624598873,1.0,1.0,1.0,0.31537440079684914
14,10,200,2,10,10,3.0,30.0,20.0,0.2,10,90,200,1.0,2.0,1.5,10,1.0,1,1,0.4267790333672853,0.4267790333672853,0.019444726840947713,-1.8333075793129878,1.0,1.0,1.0,0.29582068370063264
10,20,50,3,10,14,4.0,25.0,18.0,0.2,5,85,200,1.5,1.0,1.5,20,0.25,8,8,0.17790325971887225,0.22164374846156715,0.0072614961351818354,-0.9487458220838979,0.625,0.625,1.0,0.24430838415158423
10,10,100,3,10,10,2.0,25.0,20.0,0.2,5,90,100,1.0,2.0,3.0,20,0.5,3,3,0.23184694025223282,0.35021081599916787,0.003702987652647759,-1.2349959729087618,0.6666666666666666,0.6666666666666666,1.0,0.21427207060971368
10,14,50,3,10,10,4.0,20.0,20.0,0.05,15,90,100,2.0,2.0,2.0,20,0.25,12,12,0.1191236180337009,0.20912284175892043,0.011972002080301485,-1.9404410348114063,0.5833333333333334,0.5833333333333334,1.0,0.17823519439485355
20,20,200,3,10,14,3.0,20.0,18.0,0.1,10,90,100,2.0,1.0,1.5,10,0.5,13,13,0.12471854712564497,0.002031919652844612,0.005785075494347078,-0.9788117634348884,0.5384615384615384,0.5384615384615384,1.0,0.17722890550125348
10,14,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.0,2.0,2.0,30,1.0,36,36,0.08598550829622391,0.050454732114059,0.0074099117986294654,-2.1828307644237324,0.5555555555555556,0.6388888888888888,1.0,0.17249256229702972
20,20,50,3,14,10,2.0,20.0,15.0,0.05,15,85,200,1.5,1.0,3.0,20,0.25,2,2,0.09067418645635311,0.09067418645635311,0.0015928303707391479,-0.6034543714249012,0.5,0.5,1.0,0.04980788775296651
20,20,200,3,14,10,3.0,25.0,15.0,0.2,10,85,200,1.5,1.0,2.0,30,1.0,2,2,0.04091786960775827,0.04091786960775827,0.002340969451166961,-0.9729492933027006,0.5,1.0,1.0,0.022476437188601303
20,20,50,3,10,14,3.0,25.0,20.0,0.1,10,85,100,2.0,2.0,3.0,10,0.25,3,3,0.024970033154124476,-0.09735956184891935,0.002235845797838192,-1.2939879320668337,0.3333333333333333,0.6666666666666666,1.0,0.011538605386179825
