adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_symbols_evaluated,n_symbols_qualified,mean_oos_sharpe,median_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,pct_symbols_positive_oos,pct_symbols_positive_return,pct_symbols_low_dd,robustness_score
20,10,50,2,14,20,4.0,20.0,20.0,0.2,10,95,200,1.0,2.0,1.5,10,1.0,28,28,-1.1103637179422905,-1.1791957189382585,-0.04000385624841957,-4.735912931714442,0.0,0.0,1.0,-0.0
20,10,50,2,14,14,3.0,20.0,20.0,0.2,10,95,200,1.0,2.0,1.5,10,1.0,28,28,-1.1192317720276408,-1.1791957189382585,-0.04026005946958982,-4.770169209163552,0.0,0.0,1.0,-0.0
20,10,50,2,14,14,4.0,25.0,20.0,0.2,10,95,200,1.0,2.0,1.5,10,1.0,26,26,-1.188528575302054,-1.2796383642122602,-0.04182997508725838,-4.899067133491387,0.0,0.0,1.0,-0.0
20,10,50,2,14,14,4.0,20.0,20.0,0.1,10,95,200,1.0,2.0,1.5,10,1.0,28,28,-1.1310562650751699,-1.1963032214596965,-0.04170589430313724,-4.914569994117596,0.0,0.0,1.0,-0.0
20,10,50,2,14,14,4.0,20.0,20.0,0.2,5,95,200,1.0,2.0,1.5,10,1.0,26,26,-0.9205549978259739,-0.8332147560269674,-0.02920174467962485,-3.6087514564401055,0.0,0.0,1.0,-0.0
20,10,50,2,14,14,4.0,20.0,20.0,0.2,10,90,200,1.0,2.0,1.5,10,1.0,29,29,-1.146060934792451,-1.1819010673659303,-0.04184322051713206,-4.994336894231617,0.0,0.0,1.0,-0.0
20,10,50,2,14,14,4.0,20.0,20.0,0.2,10,95,100,1.0,2.0,1.5,10,1.0,28,28,-1.1103637179422905,-1.1791957189382585,-0.04000385624841957,-4.735912931714442,0.0,0.0,1.0,-0.0
20,10,50,2,14,14,4.0,20.0,20.0,0.2,10,95,200,1.5,2.0,1.5,10,1.0,28,28,-1.1021228765517699,-1.1618119059724759,-0.030772637012404878,-3.6914056469325613,0.0,0.0,1.0,-0.0
20,10,50,2,14,14,4.0,20.0,20.0,0.2,10,95,200,1.0,1.0,1.5,10,1.0,28,28,-1.116333532055901,-1.1839077013986348,-0.020313976438989228,-2.407172934847584,0.0,0.0,1.0,-0.0
20,10,50,2,14,14,4.0,20.0,20.0,0.2,10,95,200,1.0,2.0,2.0,10,1.0,28,28,-1.0484685685319823,-1.1606778705547074,-0.035564410089246344,-4.290320026793105,0.0,0.0,1.0,-0.0
20,10,50,2,14,14,4.0,20.0,20.0,0.2,10,95,200,1.0,2.0,1.5,20,1.0,26,26,-0.9997718666288902,-1.0302605385989163,-0.03824386461301442,-4.9841537792392305,0.0,0.038461538461538464,1.0,-0.0
