symbol,adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_windows,mean_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,sum_oos_n_trades,pct_oos_positive,robustness_score
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,10,90,200,1.5,0.5,3.0,30,0.5,4,-0.1091190004932889,0.00039953399988421545,-0.9265924946070145,17,0.75,-0.16367850073993334
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,85,200,1.5,0.5,3.0,30,0.5,4,-0.1091190004932889,0.00039953399988421545,-0.9265924946070145,17,0.75,-0.16367850073993334
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,95,200,1.5,0.5,3.0,30,0.5,4,-0.1091190004932889,0.00039953399988421545,-0.9265924946070145,17,0.75,-0.16367850073993334
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,100,1.5,0.5,3.0,30,0.5,4,-0.1091190004932889,0.00039953399988421545,-0.9265924946070145,17,0.75,-0.16367850073993334
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.0,0.5,3.0,30,0.5,4,-0.1091190004932889,0.00039953399988421545,-0.9265924946070145,17,0.75,-0.16367850073993334
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,2.0,0.5,3.0,30,0.5,4,-0.1091190004932889,0.00039953399988421545,-0.9265924946070145,17,0.75,-0.16367850073993334
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.5,1.0,3.0,30,0.5,4,-0.1065968181202554,0.0007742899073065928,-1.8440511363994614,17,0.75,-0.1598952271803831
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.5,0.5,2.0,30,0.5,4,-0.3341418917719158,-0.0024304106990222863,-1.5674807521065253,23,0.5,-0.3341418917719158
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.5,0.5,3.0,20,0.5,4,-0.41199832728059643,-0.002557187553508129,-1.1062538228483978,20,0.25,-0.20599916364029822
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.5,0.5,3.0,30,0.25,4,0.05801116645091675,0.0023501534357380023,-0.9265924946070145,17,0.75,0.08701674967637513
AUDUSD_X_4h,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.5,0.5,3.0,30,1.0,4,-0.16491571238834407,-0.0008524808376322197,-0.8850359631325364,17,0.75,-0.2473735685825161
AUDUSD_X_4h,10,14,200,2,14,10,3.0,30.0,15.0,0.2,5,85,200,1.0,1.0,2.0,20,1.0,4,-0.5652146230441677,-0.01293397848959471,-1.293397848959471,5,0.0,-0.0
AUDUSD_X_4h,10,14,200,5,14,10,3.0,30.0,15.0,0.2,5,85,200,1.0,1.0,2.0,20,1.0,4,-0.39620757685265084,-0.0059932592850740095,-1.1940522696088687,5,0.25,-0.19810378842632542
BZ_F_4h,20,14,50,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,4,0.3620424675656698,0.049471191773923645,-3.9045500074327033,11,0.5,0.3620424675656698
BZ_F_4h,14,14,50,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,4,0.3620424675656698,0.049471191773923645,-3.9045500074327033,11,0.5,0.3620424675656698
BZ_F_4h,20,10,50,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,4,0.42357895577744975,0.052248845596019874,-3.641614860405311,11,0.5,0.42357895577744975
BZ_F_4h,20,20,50,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,4,0.3586390156273053,0.0495143024489952,-3.7406051048886018,11,0.5,0.3586390156273053
BZ_F_4h,20,14,100,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,4,0.3620424675656698,0.049471191773923645,-3.9045500074327033,11,0.5,0.3620424675656698
BZ_F_4h,20,14,50,3,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,4,0.2905754935077223,0.016818654369817297,-2.766495068142144,8,0.5,0.2905754935077223
BZ_F_4h,20,14,50,2,14,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,4,-0.19745709033349287,-0.0023338040022440063,-2.931349256959857,9,0.25,-0.09872854516674644
BZ_F_4h,20,14,50,2,20,14,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,4,0.3620424675656698,0.049471191773923645,-3.9045500074327033,11,0.5,0.3620424675656698
