symbol,adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_windows,mean_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,sum_oos_n_trades,pct_oos_positive,robustness_score
AUDCAD_X_weekly,10,10,50,5,20,20,2.0,30.0,20.0,0.1,5,85,100,1.5,2.0,3.0,30,0.25,4,-0.37842792220317967,-0.004167669189235359,-2.4718871849789257,6,0.25,-0.18921396110158983
AUDCAD_X_weekly,20,20,200,3,14,10,3.0,25.0,15.0,0.2,10,85,200,1.5,1.0,2.0,30,1.0,4,0.0926403587957883,0.00408195339799081,-1.103866116678248,5,0.5,0.0926403587957883
AUDCAD_X_weekly,20,20,50,5,14,20,4.0,25.0,15.0,0.2,10,95,200,1.5,0.5,2.0,10,0.5,4,0.09619625718119279,0.002081920208163592,-0.5524003102820582,5,0.5,0.09619625718119279
AUDCAD_X_weekly,20,10,200,5,20,20,2.0,20.0,15.0,0.1,5,85,100,1.0,0.5,1.5,20,1.0,4,0.04838424534329672,0.0023396431355546614,-0.9109678650015101,8,0.5,0.04838424534329672
AUDCAD_X_weekly,10,20,50,3,14,20,4.0,20.0,15.0,0.2,10,90,200,1.5,0.5,2.0,20,1.0,4,0.0901722778174106,0.0020441759906386775,-0.554777677276174,5,0.5,0.0901722778174106
AUDCAD_X_weekly,14,20,50,5,10,20,2.0,20.0,20.0,0.1,15,85,200,1.0,2.0,3.0,10,0.25,4,-0.21707656198613068,-0.0013988074923771375,-2.407254765720154,7,0.25,-0.10853828099306534
AUDCAD_X_weekly,14,20,50,5,14,14,2.0,25.0,20.0,0.05,5,95,100,1.0,1.0,1.5,10,0.25,4,0.06859743436451332,0.006110593765089378,-1.4067746846051206,6,0.75,0.10289615154676998
AUDCAD_X_weekly,10,14,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.0,2.0,2.0,30,1.0,4,-0.07494457817051203,0.0024976154487376338,-2.924573182954536,7,0.25,-0.037472289085256016
AUDCAD_X_weekly,20,10,50,5,10,20,3.0,20.0,15.0,0.1,15,95,200,1.5,1.0,3.0,30,0.5,4,-0.37720792255737884,-0.0024343864083191417,-1.3354593132972918,7,0.25,-0.18860396127868942
AUDCAD_X_weekly,10,14,50,5,20,10,3.0,25.0,20.0,0.2,15,90,100,1.0,1.0,2.0,30,0.5,4,-0.07530783364104254,0.0017760583778634103,-1.348173727747553,6,0.25,-0.03765391682052127
AUDCAD_X_weekly,20,20,50,5,20,14,3.0,25.0,15.0,0.1,10,95,200,1.5,2.0,1.5,30,0.25,4,0.1599323480874565,0.012285104181657881,-3.2657371002098476,7,0.25,0.07996617404372824
AUDCAD_X_weekly,10,14,200,3,14,20,2.0,25.0,20.0,0.2,15,95,100,1.0,2.0,2.0,10,0.5,4,0.11348237418822443,0.00860340078687409,-2.165909627847673,5,0.5,0.11348237418822443
