symbol,n_bars,n_trades,initial_capital,final_equity,total_return,cagr,sharpe,sortino,max_drawdown_pct,max_dd_duration_bars,win_rate,profit_factor,avg_trade,avg_win,avg_loss,best_trade,worst_trade,expectancy,avg_bars_in_trade,pct_time_in_market,tf
AUDCAD_X,2805,36,10000.0,8636.991025261877,-0.13630089747381224,-0.013077997251251805,-2.574850330712236,-3.504409766172985,-13.691578096698503,2751,0.3333333333333333,0.5451288415162581,-20.052169297112343,72.09304622825474,-66.12477705979587,242.1506475170781,-127.60720498174933,-20.052169297112343,20.5,0.2631016042780749,30m
AUDCHF_X,2805,19,10000.0,9223.462647812783,-0.07765373521872171,-0.00723583732814137,-2.3997836751294366,-3.0071140040745012,-8.996153556724114,2575,0.3157894736842105,0.3288437819299327,-25.802745301615445,40.03448831867731,-56.18916081867364,103.07532154488564,-120.74901651363183,-25.802745301615445,18.36842105263158,0.12442067736185383,30m
AUDJPY_X,2805,39,10000.0,6869.110712714869,-0.3130889287285131,-0.033176468505183854,-4.145153822637102,-4.9351632012111395,-34.908151446966414,2507,0.28205128205128205,0.32761634385828603,-52.41532427801226,90.54794739512032,-108.57946672102862,259.54041945657946,-152.59437279654347,-52.415324278012264,11.512820512820513,0.16007130124777183,30m
AUDNZD_X,2805,19,10000.0,8291.624341471614,-0.17083756585283863,-0.016689632691171852,-3.7252328483719825,-4.43145524032996,-17.627704588465708,2716,0.2631578947368421,0.17039721814119924,-58.95489232576873,46.01461024195547,-96.44400038567024,82.64894515257143,-174.8686248982904,-58.954892325768746,16.263157894736842,0.11016042780748662,30m
AUDUSD_X,2806,45,10000.0,6064.223042709058,-0.3935776957290942,-0.04392586607034943,-4.566870615539429,-5.506580527918444,-40.83287431545702,2752,0.24444444444444444,0.23582751055798223,-58.22551712461987,73.50827826384419,-100.84527445618177,150.81965780601564,-164.8660306255145,-58.22551712461987,10.222222222222221,0.16393442622950818,30m
BZ_F,2268,20,10000.0,10442.05698988532,0.04420569898853191,0.004817846427917161,0.7938285023063836,1.213548719816667,-6.638802862620459,2023,0.4,1.7430795220210111,27.625929231741317,162.0088768887118,-61.96270253957235,351.1075320440073,-111.12325235785842,27.625929231741317,14.15,0.1247795414462081,30m
CADJPY_X,2807,37,10000.0,6660.569153659023,-0.3339430846340977,-0.03582552135775918,-4.486280146157144,-5.469930792747118,-34.55988138511207,2787,0.21621621621621623,0.2514782305418046,-52.73980765172063,81.94948694142336,-89.89547512569139,285.50442419187243,-156.6230364648619,-52.739807651720625,13.675675675675675,0.18026362664766654,30m
CC_F,872,10,10000.0,10256.960445514718,0.025696044551471824,0.007359062060396271,1.25061747143736,2.0144259964471543,-2.95185642880067,275,0.4,1.7808936934375053,27.847487911471838,158.77134114538183,-59.43508091113483,259.0663637815268,-84.43082134461147,27.847487911471838,13.1,0.15022935779816513,30m
CHFJPY_X,2805,42,10000.0,6584.75728404841,-0.341524271595159,-0.03684165746946866,-4.29501825593879,-5.360642634699568,-35.12894273642881,2644,0.23809523809523808,0.30261021680603556,-48.38875758751273,88.18643126856512,-91.06850410503705,189.994574415658,-173.1802767055465,-48.388757587512714,13.857142857142858,0.20748663101604278,30m
CL_F,2273,26,10000.0,10521.508634627231,0.0521508634627231,0.005651988497151983,0.8184707607711414,1.2359707416546883,-7.888092486779917,2027,0.38461538461538464,1.530327822621799,24.76050815561651,185.76888027148095,-75.86972441679877,527.2090351611447,-118.05498195865316,24.760508155616513,17.615384615384617,0.2014958205015398,30m
CT_F,169,3,10000.0,10081.509340628101,0.00815093406281012,0.012178349074149608,1.3483370714238356,2.130528659656087,-2.887415405844669,132,0.3333333333333333,1.4955035905746876,31.211030590944834,282.5986079747219,-94.4827581009437,282.5986079747219,-104.95231576571457,31.21103059094483,9.333333333333334,0.16568047337278108,30m
ES_F,2257,30,10000.0,9119.720375403913,-0.08802796245960871,-0.010235594318780183,-1.308956302435033,-1.8262300236766023,-10.418699512492967,2179,0.3333333333333333,0.7909362270400544,-10.603752441953015,120.34928620338147,-76.08027176462026,382.2714135252799,-157.13829201083104,-10.603752441953027,14.8,0.19672131147540983,30m
EURAUD_X,2805,30,10000.0,8032.07915349482,-0.19679208465051798,-0.019495059262811254,-2.890453098893457,-3.811307611512001,-22.217524822982178,2711,0.3333333333333333,0.42238215602363627,-36.366641322920586,79.77915084947769,-94.43953740911972,161.0696940317146,-156.28031812132284,-36.36664132292059,15.066666666666666,0.16114081996434937,30m
EURCAD_X,2806,41,10000.0,6910.172369676116,-0.30898276303238836,-0.03264720951593758,-4.160414309081389,-5.23084313984821,-31.269418550468615,2769,0.2682926829268293,0.3489809757282307,-39.97934739715907,79.87942774498161,-83.92756494927731,232.13230179773106,-162.6648406399475,-39.97934739715906,14.951219512195122,0.21846044191019245,30m
EURCHF_X,2805,33,10000.0,7023.626190091312,-0.2976373809908688,-0.03124235924301977,-5.209750711522711,-5.9961261963426615,-29.940736430799298,2781,0.15151515151515152,0.13884264065416496,-60.27227349026191,64.13599793820984,-82.48803624534615,180.4408070261345,-152.78178108129765,-60.27227349026192,16.848484848484848,0.1982174688057041,30m
EURGBP_X,2808,47,10000.0,4069.9541635947157,-0.5930045836405284,-0.07750682470156256,-6.712832462547485,-7.491896451361498,-60.06687726521921,2785,0.1276595744680851,0.08669749786520131,-81.48495273155005,60.59209123882818,-102.27671526380053,181.0251167294827,-229.39640983901882,-81.48495273155005,11.893617021276595,0.19907407407407407,30m
EURJPY_X,2806,40,10000.0,5546.683936005901,-0.4453316063994099,-0.05155474709436869,-5.53557986682168,-6.443044120501672,-44.7791768818208,2583,0.2,0.13460677439022337,-71.61909498756991,55.69962345285828,-103.44877459767694,92.60784818141252,-185.61509476484494,-71.6190949875699,12.4,0.1767640769779045,30m
EURNZD_X,2806,36,10000.0,7467.562136535151,-0.2532437863464849,-0.025884391713072885,-3.6111778378100636,-4.644727608730634,-27.601946968501245,2712,0.2222222222222222,0.37795162383490327,-40.92863820769622,111.90561118883139,-84.59556660670411,251.74995639538236,-160.92442450652783,-40.928638207696224,15.444444444444445,0.19814682822523164,30m
EURUSD_X,2805,43,10000.0,5264.400422413559,-0.4735599577586441,-0.05601279947793569,-4.764902919264529,-5.805939550127189,-47.83264683442658,2793,0.20930232558139536,0.3208410438491225,-63.93155942900425,144.29780756894584,-119.05109775199105,395.7981177286158,-214.19471268401884,-63.93155942900425,8.55813953488372,0.13119429590017825,30m
GBPAUD_X,2805,32,10000.0,7637.165867062701,-0.23628341329372987,-0.023926142708866727,-3.244800904920756,-4.1642064006256945,-25.451143392595217,2658,0.40625,0.4043228727724695,-41.107164966244895,68.68177932066115,-116.22591632044377,308.11018565232246,-156.48490953302604,-41.107164966244895,13.875,0.15828877005347594,30m
GBPCAD_X,2807,36,10000.0,6536.542953133691,-0.3463457046866309,-0.03745116256013481,-4.459006616336896,-5.459932518045113,-35.80360279201798,2781,0.19444444444444445,0.16445161299731212,-62.26259306316331,63.02287295807576,-92.50391244760033,135.30981106832803,-182.1601545393007,-62.26259306316331,13.166666666666666,0.16886355539722123,30m
GBPCHF_X,2805,33,10000.0,7656.731247864538,-0.2343268752135462,-0.02370175418351872,-3.8259078370505253,-4.770341617279546,-23.43268752135462,2802,0.24242424242424243,0.22567797503178166,-42.341565711889096,50.90476419154759,-72.18039128098883,174.9244133588675,-164.53543777241262,-42.34156571188909,17.242424242424242,0.20285204991087344,30m
GBPJPY_X,2806,42,10000.0,6523.183154248381,-0.34768168457516196,-0.037641098351310354,-4.195293406240863,-5.067800747038326,-37.77333817275174,2785,0.2619047619047619,0.3274703069361003,-44.61986055316383,82.95551752009398,-89.88854309528757,242.79179604393573,-181.4088156592389,-44.61986055316383,14.30952380952381,0.21418389166072702,30m
GBPNZD_X,2807,37,10000.0,7327.880895019589,-0.2672119104980411,-0.02752519079613014,-3.429886955209559,-4.3731386458154935,-28.096042025136477,2713,0.2972972972972973,0.4491781034164335,-40.2678411241405,110.45230059910358,-104.03405493012838,246.020531411192,-174.17141900025925,-40.267841124140496,14.054054054054054,0.18525115781973636,30m
GBPUSD_X,2805,39,10000.0,5556.567803960731,-0.4443432196039269,-0.05142093468254094,-4.941519092568991,-6.138090697456387,-44.488061789485904,2740,0.1282051282051282,0.1841425573805603,-73.97531810779131,130.2330869008852,-104.0059659031849,257.36143186962624,-192.57122037037513,-73.9753181077913,10.743589743589743,0.14937611408199644,30m
GC_F,2270,19,10000.0,12011.03208276928,0.20110320827692793,0.02055042527653428,2.4275529721642815,4.703724123065077,-4.082078440396833,513,0.47368421052631576,5.159828914517754,116.6327473244082,305.4157502207953,-53.27195528234021,1199.0523275277812,-99.98720141736459,116.63274732440817,20.842105263157894,0.17444933920704847,30m
GF_F,490,3,10000.0,9781.870582820611,-0.021812941717938884,-0.011278162116515777,-3.077888335533559,-3.893507387008328,-3.1714783373372977,275,0.0,0.0,-66.85672939921709,0.0,-66.85672939921709,-27.273202936540578,-102.36396612767251,-66.85672939921709,9.0,0.05510204081632653,30m
HE_F,490,6,10000.0,10216.927707464287,0.021692770746428686,0.01109813110758262,1.9639392144308154,3.540723612930682,-2.357252070757516,329,0.3333333333333333,2.4681715231119314,40.74861663372038,205.5098609358182,-41.63200551732854,218.0939189877585,-97.12361397771298,40.748616633720374,11.833333333333334,0.14489795918367346,30m
HG_F,2270,16,10000.0,9740.08746631011,-0.025991253368989053,-0.0029192631544754377,-0.45909584409671933,-0.6784226634594784,-5.295524993007236,1537,0.375,0.8678295426480792,-5.970626582103322,104.54148861769356,-72.27789570198145,294.1552637238449,-119.39360525388062,-5.970626582103321,13.9375,0.09823788546255506,30m
HO_F,2267,30,10000.0,10921.58948583779,0.09215894858377906,0.009847651104249788,0.9762099956968302,1.7327276468188368,-7.079279766725581,615,0.2,1.6757520951240934,36.317495353832705,450.3065500497535,-67.17976832014752,875.8193990802913,-125.4668868968677,36.3174953538327,15.566666666666666,0.20599911777679752,30m
KC_F,909,15,10000.0,10786.5181257872,0.0786518125787199,0.021211276387408162,2.3283256813988413,4.642332776967808,-4.866852268908954,443,0.4666666666666667,2.4713572663422445,55.78952658612809,200.79980631543575,-71.09446817701613,408.06440366359874,-111.29629174467209,55.78952658612808,10.533333333333333,0.17381738173817382,30m
LE_F,490,7,10000.0,9931.93128331197,-0.006806871668803069,-0.0035064834089545416,-0.5090477527091263,-0.8014220314721474,-3.802170453212568,275,0.42857142857142855,0.9534564586791741,-2.022621480450263,96.67915400576719,-76.04895309511335,244.92363988633838,-106.89946122717924,-2.022621480450262,13.285714285714286,0.18979591836734694,30m
NG_F,2270,20,10000.0,11071.511012640074,0.10715110126400741,0.011364137590695655,1.2373405459895603,2.5491144509760413,-5.728755145335976,1234,0.4,2.3794608934256147,60.9791794690194,262.9606492493474,-73.67513371786593,625.2708303869792,-124.49300986432826,60.9791794690194,14.85,0.13083700440528634,30m
NQ_F,2257,9,10000.0,10352.199425493303,0.035219942549330335,0.0038722119079599437,0.7795644270548406,1.3600501901735838,-3.583425418184373,1020,0.4444444444444444,1.9733251921787969,53.777869895089346,245.31652850607463,-99.4530569936989,501.14093709044033,-119.92153361067648,53.77786989508934,18.11111111111111,0.07221976074435091,30m
NZDCAD_X,2806,29,10000.0,9790.315559853292,-0.020968444014670785,-0.0019013383556708563,-0.20169079673370896,-0.32271730661598774,-7.212473145277186,1001,0.3793103448275862,1.4098318690239033,20.656137661797846,187.33375088696118,-81.20240375357974,740.2572388208126,-160.37422111115097,20.65613766179785,18.551724137931036,0.1917320028510335,30m
NZDCHF_X,2805,8,10000.0,9427.591261562826,-0.05724087384371742,-0.005281548614746723,-2.2979072177071176,-2.856585800032849,-7.172620201494046,1936,0.25,0.18811606539667905,-56.22267762848235,52.1078861189858,-92.33286554430508,93.52056178118272,-128.037063593264,-56.22267762848236,15.375,0.04385026737967915,30m
NZDJPY_X,2805,40,10000.0,8933.0582211967,-0.10669417788033006,-0.01008506688658517,-1.082644077256625,-1.6357837339797705,-17.671927419369485,1913,0.325,1.0340885884062896,2.0665212844942538,192.8880175856451,-89.81049545309689,650.7235828606822,-159.52303947306692,2.06652128449425,14.25,0.20320855614973263,30m
NZDUSD_X,2808,43,10000.0,8412.674350140049,-0.1587325649859951,-0.015392103002236701,-1.3904567949201292,-1.9972845014899714,-21.8858869581447,2773,0.3488372093023256,0.9390351584283343,-4.634784963677394,204.64879382856796,-116.75098788809454,1043.5571912493597,-166.22695336355704,-4.634784963677404,10.813953488372093,0.1655982905982906,30m
OJ_F,579,8,10000.0,9728.024216728085,-0.027197578327191513,-0.01192951267746456,-2.6321600365907627,-3.388102650928204,-3.6611316059407817,456,0.125,0.20510870183890462,-31.87775101778234,65.80425921307355,-45.83232390790461,65.80425921307355,-102.75725311471615,-31.87775101778234,7.375,0.10189982728842832,30m
