adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_symbols_evaluated,n_symbols_qualified,mean_oos_sharpe,median_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,pct_symbols_positive_oos,pct_symbols_positive_return,pct_symbols_low_dd,robustness_score
20,14,50,2,20,20,4.0,20.0,18.0,0.05,15,85,200,1.0,2.0,1.5,30,0.5,49,49,0.027205328042777,0.07501480149699385,0.02323023898984856,-6.097846116976552,0.5306122448979592,0.6938775510204082,1.0,0.05647193058189063
10,14,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.0,2.0,2.0,30,1.0,52,52,0.031244369840518055,-0.05920607938052143,0.006193599977717699,-4.6040432742104835,0.4423076923076923,0.5,1.0,0.05486794586927567
20,14,100,3,20,14,2.0,30.0,20.0,0.05,10,85,200,2.0,1.0,1.5,30,0.25,42,42,-0.03400015902713528,0.012014615370197457,0.0034824838538510825,-1.525249840856279,0.5,0.5714285714285714,1.0,-0.06394070103323037
14,14,100,2,20,20,4.0,20.0,20.0,0.05,10,90,100,1.0,2.0,1.5,30,1.0,51,51,-0.061158066399740085,-0.0686137107973736,0.010317719583080904,-5.516382559087665,0.43137254901960786,0.5294117647058824,1.0,-0.10424136010698619
10,10,200,5,20,20,3.0,25.0,15.0,0.1,5,90,100,2.0,0.5,2.0,20,0.5,31,31,-0.27717599470940485,-0.18580177111404073,-0.0011557460667196283,-0.667542819595738,0.12903225806451613,0.3225806451612903,1.0,-0.12395081242046599
10,14,50,3,10,14,4.0,25.0,18.0,0.2,5,90,100,1.0,0.5,3.0,30,0.25,29,29,-0.38204091107042903,-0.3834860702468498,-0.0016701645941199033,-0.7154946658966346,0.10344827586206896,0.27586206896551724,1.0,-0.1344203323883346
10,10,200,5,20,10,4.0,30.0,18.0,0.2,15,90,200,1.0,1.0,1.5,30,0.25,29,29,-0.1623560722907858,-0.2694469884721034,-0.00035955378952163045,-1.4939769292955165,0.27586206896551724,0.3448275862068966,1.0,-0.15233242702686134
20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.5,0.5,3.0,30,0.5,46,46,-0.1613363605837643,-0.19701364086915102,-7.458166575568048e-05,-0.8731190065890635,0.2608695652173913,0.41304347826086957,1.0,-0.16204403524440242
10,14,200,3,14,10,3.0,30.0,15.0,0.2,5,85,200,1.0,1.0,2.0,20,1.0,19,19,-0.13902256889629164,-0.12264083542697822,0.0008965665687020361,-1.3955881890701562,0.42105263157894735,0.5789473684210527,1.0,-0.17535764058737013
20,20,50,3,20,20,3.0,25.0,18.0,0.1,5,95,200,1.5,2.0,3.0,10,0.5,26,26,-0.3513331462250357,-0.4172671298265458,-0.006307228966468985,-1.9428346532411103,0.15384615384615385,0.23076923076923078,1.0,-0.1781441131658096
14,10,100,5,20,14,4.0,30.0,20.0,0.05,15,85,200,1.0,1.0,3.0,10,0.25,33,33,-0.4173126796811072,-0.3653272760331072,-0.0028286602606458914,-1.5119712620158396,0.12121212121212122,0.2727272727272727,1.0,-0.17837514667263582
20,20,50,5,20,14,3.0,25.0,15.0,0.1,10,95,200,1.5,2.0,1.5,30,0.25,40,40,-0.14071869357086308,-0.21162723937277267,0.0031485577726699057,-3.0343203966588375,0.35,0.45,1.0,-0.18289915339775809
20,10,50,5,14,14,2.0,25.0,15.0,0.1,10,90,200,2.0,2.0,1.5,30,1.0,52,52,-0.1277420048901814,-0.17284655145755637,0.001119299990206755,-3.465872135585257,0.4230769230769231,0.4423076923076923,1.0,-0.21457321305387117
14,14,50,2,14,20,2.0,20.0,18.0,0.2,15,90,100,1.0,0.5,2.0,30,1.0,43,43,-0.1360832200452729,-0.07589853355568503,0.0021785476297889396,-1.1824220951509135,0.4186046511627907,0.5348837209302325,1.0,-0.2155666230609235
14,20,50,5,14,14,2.0,25.0,20.0,0.05,5,95,100,1.0,1.0,1.5,10,0.25,51,51,-0.21003866350900266,-0.22086167824546754,-0.00023014741394133682,-1.70442317135653,0.27450980392156865,0.4117647058823529,1.0,-0.2278195156448743
14,10,200,3,14,14,3.0,30.0,15.0,0.2,10,90,200,2.0,1.0,3.0,20,1.0,17,17,-0.22887655491018966,-0.2148844211536253,-0.0019540210402213504,-1.1701937344256215,0.35294117647058826,0.35294117647058826,1.0,-0.23348411659658222
20,20,50,5,14,20,4.0,25.0,15.0,0.2,10,95,200,1.5,0.5,2.0,10,0.5,44,44,-0.34410157489218013,-0.28852985031789635,-0.0010982031939262926,-0.6988750808280294,0.18181818181818182,0.3181818181818182,1.0,-0.23815973778417354
10,20,50,3,14,20,4.0,20.0,15.0,0.2,10,90,200,1.5,0.5,2.0,20,1.0,35,35,-0.26070972466256315,-0.25825105443345586,-0.0007000219109370454,-0.7527823609114739,0.2571428571428571,0.4,1.0,-0.2402378320546216
20,10,50,5,10,20,3.0,20.0,15.0,0.1,15,95,200,1.5,1.0,3.0,30,0.5,51,51,-0.17597502698994233,-0.1705200660493685,-0.0002727117749481256,-1.85951901551783,0.35294117647058826,0.39215686274509803,1.0,-0.245407136478073
20,20,100,3,20,10,2.0,25.0,15.0,0.2,15,85,100,1.5,1.0,2.0,30,0.25,35,35,-0.24311322470077623,-0.2992965785917262,-0.0007382840082764431,-1.5007251082935713,0.2857142857142857,0.45714285714285713,1.0,-0.24891452711553352
20,10,200,2,14,14,3.0,20.0,15.0,0.2,15,95,100,2.0,2.0,2.0,10,1.0,32,32,-0.3840798373149712,-0.29538019007093486,-0.0071577557069796086,-2.339510141701971,0.1875,0.21875,1.0,-0.2518008853834898
