symbol,adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_windows,mean_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,sum_oos_n_trades,pct_oos_positive,robustness_score
AUDUSD_X_30m,14,14,50,3,14,10,4.0,20.0,20.0,0.2,5,85,200,1.0,0.5,3.0,10,1.0,6,-1.3617665905936367,-0.007687855715012574,-0.8534991193503222,8,0.0,-0.0
AUDUSD_X_30m,14,10,100,3,20,10,2.0,20.0,15.0,0.1,15,95,200,1.5,2.0,2.0,30,1.0,6,-0.8624467500635622,-0.02689248803571642,-4.235258089211152,9,0.0,-0.0
AUDUSD_X_30m,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.5,0.5,3.0,30,0.5,6,-1.362899311225554,-0.004070350506958614,-1.1540662471206429,12,0.16666666666666666,-0.5564013138822088
AUDUSD_X_30m,10,10,200,5,20,20,3.0,25.0,15.0,0.1,5,90,100,2.0,0.5,2.0,20,0.5,6,-0.9229949985894118,-0.0062612247777873555,-0.7696108819678011,7,0.0,-0.0
AUDUSD_X_30m,20,14,100,3,20,14,2.0,30.0,20.0,0.05,10,85,200,2.0,1.0,1.5,30,0.25,6,-1.3723368942135952,-0.021733318934532963,-2.476472241703329,10,0.0,-0.0
AUDUSD_X_30m,20,20,50,5,14,14,3.0,20.0,18.0,0.2,10,90,100,2.0,1.0,3.0,20,0.5,6,-1.5137140363329367,-0.013280829855941131,-1.766093104770363,9,0.0,-0.0
BZ_F_30m,20,10,200,5,20,20,2.0,20.0,15.0,0.1,5,85,100,1.0,0.5,1.5,20,1.0,6,0.3707122678915378,0.0022262593182490495,-0.307978906798688,5,0.5,0.4540279488621057
BZ_F_30m,14,20,50,5,10,20,2.0,20.0,20.0,0.1,15,85,200,1.0,2.0,3.0,10,0.25,6,-0.3321331077691094,-0.003020298166433986,-1.2094270076724578,8,0.3333333333333333,-0.27118554690637775
BZ_F_30m,14,14,200,5,10,14,4.0,25.0,15.0,0.1,5,90,100,1.0,2.0,1.5,10,0.25,6,0.14914692011904152,0.0027969051707082138,-1.0918372038211548,5,0.16666666666666666,0.06088897516654902
BZ_F_30m,10,14,50,5,10,14,2.0,20.0,15.0,0.1,15,90,200,1.0,2.0,2.0,30,1.0,6,-0.39701641637197543,-0.0008420661974306619,-1.474243157451095,7,0.16666666666666666,-0.1620812732699482
BZ_F_30m,20,10,50,5,10,20,3.0,20.0,15.0,0.1,15,95,200,1.5,1.0,3.0,30,0.5,6,-0.6773212951805615,-0.002232818685895139,-0.6897493472158076,7,0.16666666666666666,-0.2765152608522337
BZ_F_30m,10,14,50,5,20,10,3.0,25.0,20.0,0.2,15,90,100,1.0,1.0,2.0,30,0.5,6,0.025995937534418274,0.0008454584886155313,-0.7530557326079603,6,0.16666666666666666,0.010612797057431629
BZ_F_30m,20,20,50,5,20,14,3.0,25.0,15.0,0.1,10,95,200,1.5,2.0,1.5,30,0.25,6,0.23836735307759213,0.006014861565853788,-1.489100902603824,6,0.3333333333333333,0.194626128792646
BZ_F_30m,14,14,50,5,10,20,3.0,20.0,15.0,0.05,5,90,200,2.0,1.0,2.0,10,1.0,6,-0.09277203450966305,0.001263324861506438,-0.5229681898498564,7,0.5,-0.11362207347427332
BZ_F_30m,20,14,100,5,20,20,2.0,20.0,18.0,0.1,10,90,200,1.0,2.0,3.0,30,0.5,6,-0.17986535672420115,-0.0017955800813232606,-1.3652534403322605,6,0.16666666666666666,-0.073429724396328
BZ_F_30m,10,14,50,5,10,20,2.0,30.0,15.0,0.2,10,90,100,2.0,0.5,2.0,10,0.25,6,-0.42167521892081067,-0.001059124746693154,-0.24451574367778903,5,0.3333333333333333,-0.3442963745107922
BZ_F_30m,20,10,100,5,10,14,2.0,20.0,20.0,0.1,5,90,200,1.5,0.5,3.0,30,0.5,6,-0.3676904958333686,-0.0009492613675778557,-0.328540411692363,6,0.16666666666666666,-0.15010901634378288
BZ_F_30m,10,10,200,5,20,20,3.0,25.0,15.0,0.1,5,90,100,2.0,0.5,2.0,20,0.5,6,0.3318009408637491,0.001740476866182083,-0.2807746053562167,5,0.16666666666666666,0.13545716688192685
BZ_F_30m,20,20,50,5,14,14,3.0,20.0,18.0,0.2,10,90,100,2.0,1.0,3.0,20,0.5,6,-0.36061011609884774,-0.0020829956120015903,-0.6002682971010911,5,0.16666666666666666,-0.14721846342132974
