symbol,n_bars,n_trades,initial_capital,final_equity,total_return,cagr,sharpe,sortino,max_drawdown_pct,max_dd_duration_bars,win_rate,profit_factor,avg_trade,avg_win,avg_loss,best_trade,worst_trade,expectancy,avg_bars_in_trade,pct_time_in_market,tf
AUDCAD_X,4456,61,10000.0,10238.666877933756,0.023866687793375606,0.0013347668655543377,0.08784494551884657,0.14685767079818282,-9.148282323308454,1806,0.4426229508196721,1.2816598355814803,13.438526514029046,138.15467216030603,-85.60076561683798,1081.6752122518494,-125.38360386593166,13.43852651402905,18.40983606557377,0.2520197486535009,4h
AUDCHF_X,4450,51,10000.0,9058.12146401836,-0.09418785359816392,-0.005586289179049575,-0.3471478470943572,-0.49035426710138963,-11.738912627388878,4378,0.43137254901960786,0.7439190311587274,-11.216902200667722,75.53857598411845,-77.03140289257448,288.4921444122118,-115.26097975150509,-11.216902200667725,20.03921568627451,0.22966292134831462,4h
AUDJPY_X,4444,67,10000.0,9568.245909872385,-0.04317540901276152,-0.002499586636429796,-0.09663104046177018,-0.14054722021911034,-13.495939892830139,3763,0.40298507462686567,1.0428311910351173,2.048718458035742,123.7790599083136,-80.11926202090181,614.9757403998311,-118.69256409096803,2.0487184580357436,16.791044776119403,0.25315031503150315,4h
AUDNZD_X,4456,47,10000.0,9358.448811718665,-0.06415511882813353,-0.003742753161362966,-0.2143943921861212,-0.31203770407208214,-16.119462201148615,3124,0.46808510638297873,0.9982093716064085,-0.07745470091803326,92.24421398601613,-81.3205231454201,410.8685135096044,-129.99101707581846,-0.07745470091803242,18.80851063829787,0.19838420107719928,4h
AUDUSD_X,4456,59,10000.0,10623.448265672556,0.06234482656725559,0.0034260977402178483,0.1916457130835397,0.3083048711120949,-8.867501572686406,1660,0.3728813559322034,1.4167422779676202,21.060132884549336,192.00552722866772,-80.58307456330483,1075.5390503803096,-135.42456351330057,21.06013288454934,14.779661016949152,0.19569120287253142,4h
BZ_F,3686,42,10000.0,10208.207540555577,0.0208207540555577,0.0014098249567802146,0.09258263609494793,0.14148504193265668,-12.32199385813934,2536,0.35714285714285715,1.1718935528777072,7.714909503486873,147.2710707241569,-69.81629117466315,478.91119946914006,-109.70471746476575,7.714909503486879,17.476190476190474,0.19913185024416713,4h
CADJPY_X,4443,65,10000.0,11116.053313423654,0.11160533134236539,0.006019148759329074,0.29131086048185134,0.4488342402661627,-6.681317937185647,1218,0.49230769230769234,1.6199504183639815,27.936619598297092,148.27980201367967,-88.75979971358906,779.1396124810007,-146.40044916310887,27.936619598297092,16.23076923076923,0.23745217195588567,4h
CC_F,1782,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4h
CHFJPY_X,4439,66,10000.0,8478.85810660176,-0.15211418933982404,-0.009323764662815148,-0.4796489524132961,-0.6882298123135415,-22.54247085219683,4163,0.30303030303030304,0.7533728112088146,-12.338683882852962,124.38034804561013,-71.78174124305431,509.5620763866492,-125.90232980247667,-12.338683882852969,14.181818181818182,0.21085830141923856,4h
CL_F,3677,45,10000.0,11141.530771582336,0.11415307715823364,0.007435674010327187,0.4086393500393653,0.646072002316203,-9.254594102675876,1951,0.37777777777777777,1.690197098480528,28.643467023932136,185.67498568319877,-66.6970978763369,617.8496730296495,-118.65877581090376,28.643467023932125,14.71111111111111,0.18003807451726953,4h
CT_F,2444,31,10000.0,10466.398330079148,0.046639833007914785,0.004711304114588977,0.2861352479651799,0.43377269273896607,-7.522095689286029,1116,0.4838709677419355,1.4493654110447058,18.976255343148985,126.49087668002731,-81.81870216017445,385.89751856928126,-124.91176501736737,18.976255343148985,13.129032258064516,0.1665302782324059,4h
ES_F,3717,52,10000.0,12961.098926878793,0.29610989268787924,0.01773974245386367,0.9676228544177359,1.5344380004828415,-8.372027130511425,1265,0.5,2.590958624074345,64.42344314141907,209.83383612121256,-80.98694983837441,718.9781116818473,-139.00484806667995,64.42344314141907,18.115384615384617,0.25343018563357544,4h
EURAUD_X,4446,66,10000.0,10390.951045171652,0.03909510451716524,0.002176062154868763,0.13054704016277496,0.20031067200460356,-12.051629429496638,3306,0.45454545454545453,1.3876142856964495,17.636174468587242,138.89801998934885,-83.41536346538076,851.40076700717,-133.2707353258204,17.63617446858725,16.848484848484848,0.2501124606387764,4h
EURCAD_X,4445,59,10000.0,8047.697985814654,-0.1952302014185346,-0.012238141790653412,-0.6429869122193109,-0.9668588729182707,-27.546942180311362,4125,0.3389830508474576,0.5970847493762126,-20.335822124813994,88.90087245883214,-76.35463986001713,998.1313998167293,-122.78567863173933,-20.335822124813994,13.152542372881356,0.17457817772778403,4h
EURCHF_X,4442,50,10000.0,8325.353646748956,-0.16746463532510442,-0.01034380187461681,-0.6304560030190001,-0.9140089885327215,-18.956821728677777,4231,0.34,0.5512140239719447,-20.879239007434123,75.42524503038584,-70.49063987540198,171.07900416956542,-124.690567750346,-20.879239007434116,16.0,0.180099054479964,4h
EURGBP_X,4446,62,10000.0,10596.393694224242,0.05963936942242417,0.0032888005594853276,0.16239311032429002,0.2538387581021666,-10.284045737434072,1425,0.41935483870967744,1.5952390100267444,28.894512508033344,184.65798357587926,-83.60132770763315,885.7392801275487,-158.66934355873315,28.89451250803335,16.14516129032258,0.22514619883040934,4h
EURJPY_X,4444,69,10000.0,12499.20986646078,0.249920986646078,0.012730268876990136,0.5502354618184545,0.819516159911591,-8.256109270960472,1425,0.43478260869565216,1.9681822058105156,50.316524549619395,235.2592328898806,-91.94709725058152,842.7661471350204,-157.6789928339094,50.31652454961939,19.92753623188406,0.3094059405940594,4h
EURNZD_X,4445,75,10000.0,10336.203063474328,0.03362030634743278,0.0018764512537057243,0.10771693655090457,0.16557259462504426,-12.22140419151411,2639,0.3466666666666667,1.3156204487766194,16.175587929954805,194.49725320140897,-78.44407119367395,1423.6868901848923,-128.5080295307731,16.1755879299548,17.986666666666668,0.3034870641169854,4h
EURUSD_X,4441,64,10000.0,10119.337077680057,0.01193370776800566,0.000673383965434704,0.052139075074514,0.08806810915767303,-12.199716417562442,4255,0.375,1.3508178147291852,15.041092182435202,154.44122785841014,-68.59898922314976,715.0644485402684,-122.20629052930667,15.041092182435207,13.046875,0.18802071605494258,4h
GBPAUD_X,4456,59,10000.0,10981.097208790248,0.09810972087902482,0.005306838433094319,0.295750491531033,0.4669753759957527,-8.334086235332595,2409,0.4745762711864407,1.7313900151262576,29.09139945463573,145.11238349025905,-75.70174741624984,911.3092377975272,-124.66252354953849,29.09139945463574,16.440677966101696,0.21768402154398564,4h
GBPCAD_X,4456,49,10000.0,8012.810633445993,-0.19871893665540075,-0.012450780943627837,-0.7012882186403558,-0.9748955405897728,-20.79355932795352,4055,0.2653061224489796,0.5196836782142941,-26.493066207002588,108.04301248806146,-75.07553906910906,333.81936901230796,-132.19406987271321,-26.493066207002585,13.959183673469388,0.15350089766606823,4h
GBPCHF_X,4442,44,10000.0,9415.07244470354,-0.05849275552964591,-0.0034135337552079204,-0.20934501670948763,-0.31324443344493275,-10.867833067190045,3627,0.5227272727272727,0.9570885151627296,-1.6033748117271258,68.41297234293704,-78.28794550493073,201.19543958749816,-128.07685326805003,-1.6033748117271287,16.568181818181817,0.16411526339486718,4h
GBPJPY_X,4443,60,10000.0,9549.119794566772,-0.04508802054332282,-0.0026133471823993615,-0.11379249085481215,-0.1633867763014142,-9.827782181110882,4317,0.4,1.0666834828643001,3.188167661217831,127.49655682141197,-79.68409177891161,480.0714887648862,-124.41200118400383,3.1881676612178254,16.333333333333332,0.2205716857978843,4h
