symbol,n_bars,n_trades,initial_capital,final_equity,total_return,cagr,sharpe,sortino,max_drawdown_pct,max_dd_duration_bars,win_rate,profit_factor,avg_trade,avg_win,avg_loss,best_trade,worst_trade,expectancy,avg_bars_in_trade,pct_time_in_market
AUDCAD_X,1039,23,10000.0,9920.950577876703,-0.00790494221232966,-0.001923038558691248,-0.03726307481997083,-0.0564212639914747,-8.188458057145482,889,0.391304347826087,1.0092849542952875,0.3402166285288855,94.50937517316646,-60.19709957873813,604.0837805858672,-106.0588197785829,0.3402166285288786,19.565217391304348,0.4331087584215592
AUDCHF_X,1039,16,10000.0,10915.387192998556,0.09153871929985562,0.021471017587583408,0.6049620825583942,1.2424908507902912,-3.0954791399492056,469,0.625,3.7027329785925507,60.095788955690914,131.72957086224707,-59.29384755523605,874.4369066834226,-100.78406021815275,60.09578895569091,23.25,0.35803657362848895
AUDJPY_X,1038,10,10000.0,10777.05595265235,0.07770559526523503,0.018333912425167354,0.5879490413490064,0.9527752958498853,-3.720839504121843,436,0.4,3.011785702564262,80.76206571633115,302.26633299456984,-66.90744580249462,635.233689732608,-109.17806330640965,80.76206571633116,29.0,0.279383429672447
AUDNZD_X,1039,13,10000.0,10265.737340602911,0.0265737340602911,0.0063813428315793175,0.3322613777431682,0.5216554329147849,-4.82804437938017,895,0.6153846153846154,1.7591345062086805,24.911011034985044,93.80479407654447,-85.31904183151002,276.0114550323667,-113.44113063964599,24.91101103498506,20.692307692307693,0.25890279114533205
AUDUSD_X,1039,18,10000.0,9709.920808668447,-0.029007919133155338,-0.00711424157204632,-0.22976679555961685,-0.3431257976995526,-6.226377135974237,1007,0.3333333333333333,0.6767746503529338,-13.198840507270768,82.90785991067203,-61.252190716242175,333.22105940064773,-102.40251170905516,-13.19884050727078,17.0,0.2945139557266602
BZ_F,1006,18,10000.0,10172.172313385803,0.017217231338580313,0.0042853138486078635,0.17022720031161076,0.2747039390849348,-3.8345445886738148,650,0.4444444444444444,1.2954787905155338,10.670336384957132,105.26030485330472,-65.00163838972094,227.39997669792018,-98.37554280536868,10.670336384957132,14.777777777777779,0.2644135188866799
CADJPY_X,1039,17,10000.0,10587.97406380057,0.05879740638005696,0.01395372640839021,0.45263788823857676,0.7222534048161591,-3.4375286251238175,449,0.5294117647058824,2.5063283706424406,37.80051458222898,118.80164064777495,-53.32575224151024,375.5614559690533,-101.76886587671203,37.80051458222898,23.235294117647058,0.3801732435033686
CC_F,1004,3,10000.0,10359.859691310652,0.035985969131065214,0.00891310007263213,0.5954050518433128,0.9144391248066408,-1.9222241185198066,800,0.3333333333333333,4.7002784082987565,121.55921208688456,463.2317438226082,-49.277053780977276,463.2317438226082,-54.012065381091205,121.55921208688454,18.0,0.053784860557768925
CHFJPY_X,1039,13,10000.0,10275.777722859224,0.0275777722859224,0.006619984821803371,0.2560752388131865,0.396227992848284,-3.4920296021254926,807,0.5384615384615384,1.8267482444118723,24.669364825613464,101.22987421366751,-64.65122946044961,347.61072988236555,-105.56671916857313,24.66936482561345,24.076923076923077,0.3012512030798845
CL_F,1005,19,10000.0,10013.002166455974,0.0013002166455973565,0.00032586578737281435,0.025943687523574836,0.04150469548064739,-4.292930910554173,757,0.3684210526315789,1.042880363269902,1.67133095219389,110.33011001978225,-61.71295683723266,213.89939405865334,-101.42612011072423,1.671330952193884,15.68421052631579,0.2965174129353234
