adx_len,atr_len,ema_len,rsi_len,dmi_len,st_atr_len,st_mult,adx_trend,adx_range,bbwpct_min,rsi_oversold,rsi_overbought,sma_trend_len,mr_trail_mult,risk_pct,trail_mult,max_bars_in_trade,dead_money_pct,n_symbols_evaluated,n_symbols_qualified,mean_oos_sharpe,median_oos_sharpe,mean_oos_total_return,mean_oos_max_dd_pct,pct_symbols_positive_oos,pct_symbols_positive_return,pct_symbols_low_dd,robustness_score
10,20,100,2,10,14,3.0,30.0,18.0,0.1,5,85,200,2.0,1.0,1.5,30,0.5,2,2,0.8979129934295084,0.8979129934295084,0.015544733482182778,-1.0731289869207448,1.0,1.0,1.0,0.9864582487364256
14,20,100,2,10,20,3.0,30.0,15.0,0.1,15,90,100,1.5,1.0,2.0,20,0.25,2,2,0.6925063882770337,0.6925063882770337,0.010062092397832203,-1.0267653541894446,1.0,1.0,1.0,0.7607960281423186
10,20,100,2,10,10,2.0,20.0,15.0,0.05,5,95,200,1.5,0.5,1.5,20,1.0,10,10,0.41401606276992214,0.3927897953709249,0.003672641590069193,-0.5559465236671783,0.7,0.9,1.0,0.6949370118450128
14,20,100,2,20,20,4.0,25.0,15.0,0.05,15,95,200,1.5,2.0,1.5,10,0.25,3,3,0.5009617472474384,0.560625571586934,0.013348880957749299,-2.2901630231688257,1.0,1.0,1.0,0.6944804453458917
10,10,100,2,10,20,3.0,20.0,15.0,0.2,10,95,100,1.5,0.5,1.5,30,1.0,9,9,0.36285709258110876,0.24460889840434377,0.0039850959506009635,-0.6092408951602002,0.7777777777777778,0.8888888888888888,1.0,0.6498405917612168
14,10,200,2,14,20,2.0,20.0,18.0,0.1,5,85,200,1.0,0.5,1.5,20,0.25,5,5,0.4089232944740752,0.4023133390771816,0.0036914723027301173,-0.5523439010581865,0.8,1.0,1.0,0.5861537480494854
20,20,100,2,10,14,4.0,20.0,20.0,0.05,5,95,200,2.0,2.0,1.5,20,0.5,11,11,0.30557165712962636,0.38438334141332886,0.013134669663338538,-2.128298012342794,0.6363636363636364,0.8181818181818182,1.0,0.48320175450154834
14,14,100,2,20,10,2.0,25.0,15.0,0.2,10,90,200,2.0,2.0,2.0,20,0.5,3,3,0.38542430305255504,0.4549357441263967,0.006001455757088994,-2.2628379160544756,0.6666666666666666,0.6666666666666666,1.0,0.35620769197354724
10,20,200,3,10,14,3.0,30.0,18.0,0.05,5,95,200,1.5,0.5,3.0,30,0.25,5,5,0.303151009118026,0.9586162923153719,0.003934610131371001,-0.4848486206740635,0.6,0.6,1.0,0.3259042147159581
14,10,50,2,10,10,3.0,30.0,20.0,0.05,5,95,200,1.0,2.0,1.5,20,0.5,1,1,0.4279393664770489,0.4279393664770489,0.024657873738311856,-2.4497522073395137,1.0,1.0,1.0,0.2966249653241756
10,10,200,2,20,20,3.0,25.0,20.0,0.1,10,85,100,1.0,1.0,3.0,20,1.0,2,2,0.49655219779416465,0.49655219779416465,0.003164140753212633,-1.1899645881233376,0.5,0.5,1.0,0.2727591732309136
10,10,100,2,10,10,2.0,20.0,15.0,0.2,15,85,100,2.0,1.0,1.5,10,0.5,12,12,0.15300627095663455,0.3131508731296768,0.005266940424252906,-1.147395472676288,0.6666666666666666,0.75,1.0,0.2616355575852037
10,20,200,2,20,10,2.0,25.0,18.0,0.05,5,95,100,1.5,2.0,2.0,30,0.5,2,2,0.4466450784792231,0.4466450784792231,0.0076870202937876905,-2.531183647400116,0.5,0.5,1.0,0.2453448859452034
20,20,100,2,20,10,4.0,30.0,18.0,0.2,15,95,100,2.0,2.0,2.0,30,0.5,4,4,0.2020314761035512,0.4647743470214022,0.008487831065157651,-2.0694131243395577,0.75,0.75,1.0,0.24386783785955946
14,20,200,2,20,10,4.0,25.0,20.0,0.05,5,95,100,1.5,1.0,2.0,30,1.0,2,2,0.43707170273670876,0.43707170273670876,0.0038790190828888625,-1.2773247827274323,0.5,0.5,1.0,0.2400861718278217
20,10,200,2,14,10,2.0,30.0,18.0,0.05,15,90,100,1.0,0.5,2.0,10,0.5,4,4,0.17711647218766532,0.34748775469341087,0.00616818826093994,-0.5716714813796316,0.75,0.75,1.0,0.21379347394155634
14,10,50,2,10,20,2.0,20.0,20.0,0.05,15,85,200,1.0,1.0,1.5,20,1.0,20,20,0.13688759741626202,0.07445485833604418,0.006401120888034522,-1.2388332216726305,0.5,0.6,1.0,0.2083786808899303
20,20,200,2,20,10,2.0,20.0,15.0,0.05,15,95,200,1.0,1.0,2.0,20,0.5,4,4,0.17119850556853022,0.13559711571806968,0.005320251623734498,-1.2028181429470415,0.75,0.5,1.0,0.20665002406053973
20,10,50,2,10,10,2.0,20.0,15.0,0.1,10,85,100,2.0,2.0,1.5,20,1.0,10,10,0.14249714254993276,0.19288707969942115,0.013661690140150437,-2.4390596587501845,0.6,0.7,1.0,0.2050159347046556
14,14,200,2,10,14,3.0,20.0,18.0,0.2,10,90,100,1.5,2.0,1.5,20,0.25,13,13,0.13616318532589947,0.3264361601601499,0.008935992719107876,-2.1525968965553663,0.5384615384615384,0.6923076923076923,1.0,0.19349208967742543
14,10,200,3,20,20,4.0,25.0,15.0,0.1,5,85,200,1.0,0.5,2.0,30,1.0,7,7,0.21159587769344193,-0.1057344122149862,0.0024225148608424917,-0.6493942690931794,0.42857142857142855,0.5714285714285714,1.0,0.18857196776740665
14,14,200,5,20,20,2.0,20.0,15.0,0.1,15,85,100,1.5,1.0,1.5,30,0.5,39,39,0.08122729818601582,0.26315301556947795,0.003992548313816983,-1.3204307966397602,0.6153846153846154,0.6666666666666666,1.0,0.18439243777943382
14,14,100,2,20,14,4.0,30.0,20.0,0.1,10,85,200,1.5,0.5,1.5,20,0.5,3,3,0.1851340652867011,0.04233365990314383,0.0023264837458939233,-0.5335832594729332,0.6666666666666666,1.0,1.0,0.17110020717210359
10,14,100,2,20,10,2.0,20.0,15.0,0.2,5,90,100,2.0,0.5,3.0,30,0.5,2,2,0.23787970362120597,0.23787970362120597,0.0004375979023022183,-0.641671509810285,0.5,0.5,1.0,0.13066878281149236
10,14,100,2,14,14,3.0,25.0,20.0,0.2,15,95,100,1.5,1.0,3.0,20,0.25,6,6,0.13358429485806514,0.23410297893614362,0.005318857875329287,-0.9241722664494555,0.5,0.5,1.0,0.1299715175593532
20,14,50,2,10,14,3.0,20.0,20.0,0.1,15,85,100,1.5,1.0,1.5,10,0.5,20,20,0.07732822411181624,0.18939102177115605,0.0038309708545562282,-1.1009147182854109,0.55,0.6,1.0,0.12948513235775147
14,20,200,2,20,14,4.0,20.0,15.0,0.2,10,90,100,1.0,2.0,3.0,30,1.0,2,2,0.21086025327571142,0.21086025327571142,0.0007068880474319712,-2.5042129176506593,0.5,0.5,1.0,0.1158268327201833
14,14,200,2,20,20,4.0,20.0,15.0,0.1,15,85,200,1.5,2.0,1.5,30,0.5,5,5,0.06845203036787353,0.165197910172522,0.00741381669061283,-2.306041524894252,0.8,0.8,1.0,0.09811965887961903
20,14,200,2,14,10,2.0,25.0,18.0,0.1,15,95,100,2.0,2.0,1.5,30,0.5,6,6,0.09359183388075082,0.23699160688080936,0.01958769790201114,-2.2585125709599687,0.5,0.6666666666666666,1.0,0.09106064970862597
20,10,50,3,14,20,3.0,25.0,18.0,0.1,5,90,100,1.0,0.5,2.0,30,0.5,8,8,0.06575797177390913,0.30628108918801056,0.003380439879580933,-0.5209182479935857,0.625,0.625,1.0,0.09030314483588409
10,10,200,2,20,14,3.0,20.0,15.0,0.05,10,95,100,1.0,0.5,2.0,30,0.25,4,4,0.10166066906270774,-0.01450820597133648,0.0020042061249858647,-0.650603377234203,0.5,0.5,1.0,0.08180826749646913
10,10,100,2,14,10,3.0,20.0,18.0,0.2,15,90,100,2.0,2.0,2.0,20,0.5,10,10,0.043189717335231845,0.3210968395010879,0.010524987900987357,-2.102588149707605,0.7,0.7,1.0,0.07249509332215519
14,10,200,5,20,10,2.0,25.0,18.0,0.1,15,85,100,1.5,2.0,1.5,30,1.0,37,37,0.032301101773083055,0.15706564554950106,0.008355400412559269,-2.5751225062754575,0.5675675675675675,0.6756756756756757,1.0,0.06668807718452127
20,20,50,2,20,10,2.0,30.0,18.0,0.2,10,90,200,1.5,2.0,3.0,30,1.0,4,4,0.06949704333530345,0.07857428617718745,0.002944774682382376,-2.0616327345377004,0.5,0.75,1.0,0.05592558817295649
20,14,50,3,14,14,4.0,20.0,18.0,0.1,15,95,100,2.0,2.0,2.0,30,0.25,16,16,0.0342643913413094,-0.27282872947147496,0.010072304537316362,-2.3414494990485615,0.4375,0.5,1.0,0.04247176971369591
20,14,100,2,20,10,4.0,30.0,18.0,0.1,10,95,100,2.0,1.0,3.0,20,0.25,3,3,0.07745034731822839,-0.021922135248771818,0.0006178804946070311,-0.9147326022933511,0.3333333333333333,0.3333333333333333,1.0,0.035789659918012355
10,20,100,3,20,14,3.0,25.0,15.0,0.05,10,90,100,1.0,2.0,2.0,10,0.5,12,12,0.016735803976950014,0.1442871793122384,0.003961067424851016,-2.290398380884281,0.5833333333333334,0.5833333333333334,1.0,0.0250404523000801
20,10,100,3,14,20,2.0,25.0,20.0,0.05,10,85,100,1.0,2.0,2.0,30,1.0,9,9,0.014436694680299388,0.006234004233370061,0.013140271797113225,-2.3885823823276295,0.5555555555555556,0.5555555555555556,1.0,0.018467621090535454
14,20,200,2,20,10,4.0,25.0,20.0,0.2,15,85,100,1.0,1.0,1.5,30,0.25,6,6,0.010059579347954798,0.27306786847263076,0.00440289409749605,-1.1229458182782095,0.6666666666666666,0.6666666666666666,1.0,0.013050025032274981
20,14,50,2,20,10,3.0,30.0,20.0,0.05,15,95,200,2.0,0.5,3.0,10,0.25,3,3,0.02689083181812855,-0.0746669289665659,0.00010537160782206845,-0.4511970680998349,0.3333333333333333,0.3333333333333333,1.0,0.012426202838431648
20,20,100,2,20,20,3.0,30.0,20.0,0.1,10,85,200,1.0,2.0,2.0,10,0.5,3,3,0.010370630837741812,0.5008284178073563,0.0027639027245974987,-2.168974703592187,0.6666666666666666,0.6666666666666666,1.0,0.00958449803441168
